"","course","reqs","subj_area_cd","crs_catlg_no","rqs_seq_num","left_paren_3","left_paren_2","left_paren_1","rqs_subj_area_cd","rqs_crs_catlg_no","right_paren_1","right_paren_2","right_paren_3","lgc_conn_cd"
"1","A&O SCI 1L","A&O SCI 1","A&O SCI","1L","10",NA,NA,NA,"A&O SCI","1",NA,NA,NA,NA
"2","A&O SCI 2L","A&O SCI 2","A&O SCI","2L","10",NA,NA,NA,"A&O SCI","2",NA,NA,NA,NA
"3","A&O SCI 3L","A&O SCI 3","A&O SCI","3L","10",NA,NA,NA,"A&O SCI","3",NA,NA,NA,NA
"4","A&O SCI 51","MATH 3B","A&O SCI","51","10",NA,NA,NA,"MATH","3B",NA,NA,NA,"OR"
"5","A&O SCI 51","MATH 32A","A&O SCI","51","35",NA,NA,NA,"MATH","32A",NA,NA,NA,"OR"
"6","A&O SCI 51","PHYSICS 1B","A&O SCI","51","60",NA,NA,NA,"PHYSICS","1B",NA,NA,NA,"OR"
"7","A&O SCI 51","PHYSICS 5B","A&O SCI","51","85",NA,NA,NA,"PHYSICS","5B",NA,NA,NA,"OR"
"8","A&O SCI 51","PHYSICS 5C","A&O SCI","51","110",NA,NA,NA,"PHYSICS","5C",NA,NA,NA,"OR"
"9","A&O SCI 51","PHYSICS 6B","A&O SCI","51","135",NA,NA,NA,"PHYSICS","6B",NA,NA,NA,NA
"10","A&O SCI 90","EPS SCI 71","A&O SCI","90","10",NA,NA,"(","EPS SCI","71",NA,NA,NA,"OR"
"11","A&O SCI 90","C&EE M20","A&O SCI","90","22",NA,NA,NA,"C&EE","20  M",NA,NA,NA,"OR"
"12","A&O SCI 90","COMPTNG 10A","A&O SCI","90","35",NA,NA,NA,"COMPTNG","10A",")",NA,NA,"AND"
"13","A&O SCI 90","MATH 3A","A&O SCI","90","110",NA,"(","(","MATH","3A",NA,NA,NA,"AND"
"14","A&O SCI 90","MATH 3B","A&O SCI","90","135",NA,NA,NA,"MATH","3B",")",NA,NA,"OR"
"15","A&O SCI 90","MATH 31A","A&O SCI","90","160",NA,NA,"(","MATH","31A",NA,NA,NA,"AND"
"16","A&O SCI 90","MATH 31B","A&O SCI","90","185",NA,NA,NA,"MATH","31B",")",")",NA,"AND"
"17","A&O SCI 90","PHYSICS 1A","A&O SCI","90","210",NA,NA,"(","PHYSICS","1A",NA,NA,NA,"OR"
"18","A&O SCI 90","PHYSICS 5A","A&O SCI","90","235",NA,NA,NA,"PHYSICS","5A",NA,NA,NA,"OR"
"19","A&O SCI 90","PHYSICS 6A","A&O SCI","90","260",NA,NA,NA,"PHYSICS","6A",")",NA,NA,NA
"20","A&O SCI 101","MATH 3B","A&O SCI","101","10",NA,NA,"(","MATH","3B",NA,NA,NA,"OR"
"21","A&O SCI 101","MATH 31B","A&O SCI","101","20",NA,NA,NA,"MATH","31B",NA,NA,NA,"OR"
"22","A&O SCI 101","LIFESCI 30B","A&O SCI","101","25",NA,NA,NA,"LIFESCI","30B",")",NA,NA,"AND"
"23","A&O SCI 101","PHYSICS 1B","A&O SCI","101","30",NA,NA,"(","PHYSICS","1B",NA,NA,NA,"OR"
"24","A&O SCI 101","PHYSICS 5B","A&O SCI","101","35",NA,NA,NA,"PHYSICS","5B",NA,NA,NA,"OR"
"25","A&O SCI 101","PHYSICS 5C","A&O SCI","101","40",NA,NA,NA,"PHYSICS","5C",NA,NA,NA,"OR"
"26","A&O SCI 101","PHYSICS 6B","A&O SCI","101","65",NA,NA,NA,"PHYSICS","6B",")",NA,NA,NA
"27","A&O SCI 102","MATH 3C","A&O SCI","102","10",NA,NA,"(","MATH","3C",NA,NA,NA,"OR"
"28","A&O SCI 102","MATH 32A","A&O SCI","102","20",NA,NA,NA,"MATH","32A",")",NA,NA,"AND"
"29","A&O SCI 102","PHYSICS 1B","A&O SCI","102","30",NA,NA,"(","PHYSICS","1B",NA,NA,NA,"OR"
"30","A&O SCI 102","PHYSICS 6C","A&O SCI","102","40",NA,NA,NA,"PHYSICS","6C",")",NA,NA,NA
"31","A&O SCI 103","MATH 3B","A&O SCI","103","10",NA,NA,NA,"MATH","3B",NA,NA,NA,"OR"
"32","A&O SCI 103","MATH 31B","A&O SCI","103","20",NA,NA,NA,"MATH","31B",NA,NA,NA,NA
"33","A&O SCI 104","CHEM 14B","A&O SCI","104","10",NA,NA,NA,"CHEM","14B",NA,NA,NA,"OR"
"34","A&O SCI 104","CHEM 20B","A&O SCI","104","20",NA,NA,NA,"CHEM","20B",NA,NA,NA,NA
"35","A&O SCI C110","A&O SCI 101","A&O SCI","110  C","10",NA,NA,NA,"A&O SCI","101",NA,NA,NA,NA
"36","A&O SCI 112","LIFESCI 30B","A&O SCI","112","25",NA,NA,NA,"LIFESCI","30B",NA,NA,NA,"OR"
"37","A&O SCI 112","LIFESCI 40","A&O SCI","112","31",NA,NA,NA,"LIFESCI","40",NA,NA,NA,"OR"
"38","A&O SCI 112","MATH 3B","A&O SCI","112","37",NA,NA,NA,"MATH","3B",NA,NA,NA,"OR"
"39","A&O SCI 112","MATH 31B","A&O SCI","112","50",NA,NA,NA,"MATH","31B",NA,NA,NA,"OR"
"40","A&O SCI 112","STATS 10","A&O SCI","112","75",NA,NA,NA,"STATS","10",NA,NA,NA,"OR"
"41","A&O SCI 112","STATS 12","A&O SCI","112","100",NA,NA,NA,"STATS","12",NA,NA,NA,"OR"
"42","A&O SCI 112","STATS 13","A&O SCI","112","125",NA,NA,NA,"STATS","13",NA,NA,NA,NA
"43","A&O SCI C115","A&O SCI 101","A&O SCI","115  C","10",NA,NA,NA,"A&O SCI","101",NA,NA,NA,NA
"44","A&O SCI CM120","PHYSICS 131","A&O SCI","120  CM","10",NA,NA,NA,"PHYSICS","131",NA,NA,NA,NA
"45","A&O SCI M120","PHYSICS 131","A&O SCI","120  M","10",NA,NA,NA,"PHYSICS","131",NA,NA,NA,NA
"46","A&O SCI 130","A&O SCI 103","A&O SCI","130","10",NA,NA,NA,"A&O SCI","103",NA,NA,NA,"OR"
"47","A&O SCI 130","A&O SCI M105","A&O SCI","130","20",NA,NA,NA,"A&O SCI","105  M",NA,NA,NA,NA
"48","A&O SCI 135","A&O SCI 103","A&O SCI","135","25",NA,NA,NA,"A&O SCI","103",NA,NA,NA,"AND"
"49","A&O SCI 135","A&O SCI M105","A&O SCI","135","50",NA,NA,NA,"A&O SCI","105  M",NA,NA,NA,NA
"50","A&O SCI M140","CHEM 20B","A&O SCI","140  M","10",NA,NA,NA,"CHEM","20B",NA,NA,NA,NA
"51","A&O SCI 141","CHEM 14B","A&O SCI","141","10",NA,NA,"(","CHEM","14B",NA,NA,NA,"OR"
"52","A&O SCI 141","CHEM 20B","A&O SCI","141","35",NA,NA,NA,"CHEM","20B",")",NA,NA,"AND"
"53","A&O SCI 141","PHYSICS 1B","A&O SCI","141","60",NA,NA,"(","PHYSICS","1B",NA,NA,NA,"OR"
"54","A&O SCI 141","PHYSICS 6B","A&O SCI","141","85",NA,NA,NA,"PHYSICS","6B",")",NA,NA,"AND"
"55","A&O SCI 141","MATH 3A","A&O SCI","141","110",NA,NA,"(","MATH","3A",NA,NA,NA,"OR"
"56","A&O SCI 141","MATH 31A","A&O SCI","141","135",NA,NA,NA,"MATH","31A",")",NA,NA,NA
"57","A&O SCI C144","A&O SCI 101","A&O SCI","144  C","10",NA,NA,NA,"A&O SCI","101",NA,NA,NA,NA
"58","A&O SCI 145","PHYSICS 1A","A&O SCI","145","10",NA,NA,"(","PHYSICS","1A",NA,NA,NA,"AND"
"59","A&O SCI 145","PHYSICS 1B","A&O SCI","145","20",NA,NA,NA,"PHYSICS","1B",NA,NA,NA,"AND"
"60","A&O SCI 145","PHYSICS 1C","A&O SCI","145","30",NA,NA,NA,"PHYSICS","1C",")",NA,NA,"OR"
"61","A&O SCI 145","PHYSICS 6A","A&O SCI","145","40",NA,NA,"(","PHYSICS","6A",NA,NA,NA,"AND"
"62","A&O SCI 145","PHYSICS 6B","A&O SCI","145","50",NA,NA,NA,"PHYSICS","6B",NA,NA,NA,"AND"
"63","A&O SCI 145","PHYSICS 6C","A&O SCI","145","60",NA,NA,NA,"PHYSICS","6C",")",NA,NA,NA
"64","A&O SCI C145","PHYSICS 1A","A&O SCI","145  C","10",NA,NA,"(","PHYSICS","1A",NA,NA,NA,"AND"
"65","A&O SCI C145","PHYSICS 1B","A&O SCI","145  C","20",NA,NA,NA,"PHYSICS","1B",NA,NA,NA,"AND"
"66","A&O SCI C145","PHYSICS 1C","A&O SCI","145  C","30",NA,NA,NA,"PHYSICS","1C",")",NA,NA,"OR"
"67","A&O SCI C145","PHYSICS 6A","A&O SCI","145  C","40",NA,NA,"(","PHYSICS","6A",NA,NA,NA,"AND"
"68","A&O SCI C145","PHYSICS 6B","A&O SCI","145  C","50",NA,NA,NA,"PHYSICS","6B",")",NA,NA,NA
"69","A&O SCI 150","MATH 3B","A&O SCI","150","10",NA,NA,NA,"MATH","3B",NA,NA,NA,"OR"
"70","A&O SCI 150","MATH 31B","A&O SCI","150","20",NA,NA,NA,"MATH","31B",NA,NA,NA,"AND"
"71","A&O SCI 150","PHYSICS 1B","A&O SCI","150","30",NA,NA,"(","PHYSICS","1B",NA,NA,NA,"AND"
"72","A&O SCI 150","PHYSICS 1C","A&O SCI","150","40",NA,NA,NA,"PHYSICS","1C",")",NA,NA,"OR"
"73","A&O SCI 150","PHYSICS 6B","A&O SCI","150","50",NA,NA,"(","PHYSICS","6B",NA,NA,NA,"AND"
"74","A&O SCI 150","PHYSICS 6C","A&O SCI","150","60",NA,NA,NA,"PHYSICS","6C",")",NA,NA,NA
"75","A&O SCI C160","PHYSICS 1C","A&O SCI","160  C","10",NA,NA,NA,"PHYSICS","1C",NA,NA,NA,"OR"
"76","A&O SCI C160","PHYSICS 6B","A&O SCI","160  C","20",NA,NA,NA,"PHYSICS","6B",NA,NA,NA,NA
"77","A&O SCI C165","PHYSICS 1C","A&O SCI","165  C","10",NA,NA,NA,"PHYSICS","1C",NA,NA,NA,"OR"
"78","A&O SCI C165","PHYSICS 6B","A&O SCI","165  C","20",NA,NA,NA,"PHYSICS","6B",NA,NA,NA,NA
"79","A&O SCI C170","MATH 33A","A&O SCI","170  C","10",NA,NA,NA,"MATH","33A",NA,NA,NA,"AND"
"80","A&O SCI C170","PHYSICS 1C","A&O SCI","170  C","20",NA,NA,NA,"PHYSICS","1C",NA,NA,NA,NA
"81","A&O SCI 180","MATH 33B","A&O SCI","180","10",NA,NA,NA,"MATH","33B",NA,NA,NA,NA
"82","A&O SCI C182","A&O SCI 101","A&O SCI","182  C","10",NA,NA,NA,"A&O SCI","101",NA,NA,NA,"OR"
"83","A&O SCI C182","A&O SCI 102","A&O SCI","182  C","35",NA,NA,NA,"A&O SCI","102",NA,NA,NA,"OR"
"84","A&O SCI C182","A&O SCI 103","A&O SCI","182  C","60",NA,NA,NA,"A&O SCI","103",NA,NA,NA,"OR"
"85","A&O SCI C182","A&O SCI 104","A&O SCI","182  C","85",NA,NA,NA,"A&O SCI","104",NA,NA,NA,"OR"
"86","A&O SCI C182","A&O SCI M105","A&O SCI","182  C","110",NA,NA,NA,"A&O SCI","105  M",NA,NA,NA,NA
"87","A&O SCI 186","A&O SCI C110","A&O SCI","186","10",NA,NA,NA,"A&O SCI","110  C",NA,NA,NA,NA
"88","A&O SCI 190","ATMOSCI C110","A&O SCI","190","10",NA,NA,NA,"ATMOSCI","110  C",NA,NA,NA,NA
"89","AERO ST 130A","AERO ST 1A","AERO ST","130A","10",NA,NA,NA,"AERO ST","1A",NA,NA,NA,"AND"
"90","AERO ST 130A","AERO ST 1B","AERO ST","130A","20",NA,NA,NA,"AERO ST","1B",NA,NA,NA,"AND"
"91","AERO ST 130A","AERO ST 1C","AERO ST","130A","30",NA,NA,NA,"AERO ST","1C",NA,NA,NA,"AND"
"92","AERO ST 130A","AERO ST 20A","AERO ST","130A","40",NA,NA,NA,"AERO ST","20A",NA,NA,NA,"AND"
"93","AERO ST 130A","AERO ST 20B","AERO ST","130A","50",NA,NA,NA,"AERO ST","20B",NA,NA,NA,"AND"
"94","AERO ST 130A","AERO ST 20C","AERO ST","130A","60",NA,NA,NA,"AERO ST","20C",NA,NA,NA,NA
"95","AERO ST 130B","AERO ST 1A","AERO ST","130B","10",NA,NA,NA,"AERO ST","1A",NA,NA,NA,"AND"
"96","AERO ST 130B","AERO ST 1B","AERO ST","130B","20",NA,NA,NA,"AERO ST","1B",NA,NA,NA,"AND"
"97","AERO ST 130B","AERO ST 1C","AERO ST","130B","30",NA,NA,NA,"AERO ST","1C",NA,NA,NA,"AND"
"98","AERO ST 130B","AERO ST 20A","AERO ST","130B","40",NA,NA,NA,"AERO ST","20A",NA,NA,NA,"AND"
"99","AERO ST 130B","AERO ST 20B","AERO ST","130B","50",NA,NA,NA,"AERO ST","20B",NA,NA,NA,"AND"
"100","AERO ST 130B","AERO ST 20C","AERO ST","130B","60",NA,NA,NA,"AERO ST","20C",NA,NA,NA,NA
"101","AERO ST 130C","AERO ST 1A","AERO ST","130C","10",NA,NA,NA,"AERO ST","1A",NA,NA,NA,"AND"
"102","AERO ST 130C","AERO ST 1B","AERO ST","130C","20",NA,NA,NA,"AERO ST","1B",NA,NA,NA,"AND"
"103","AERO ST 130C","AERO ST 1C","AERO ST","130C","30",NA,NA,NA,"AERO ST","1C",NA,NA,NA,"AND"
"104","AERO ST 130C","AERO ST 20A","AERO ST","130C","40",NA,NA,NA,"AERO ST","20A",NA,NA,NA,"AND"
"105","AERO ST 130C","AERO ST 20B","AERO ST","130C","50",NA,NA,NA,"AERO ST","20B",NA,NA,NA,"AND"
"106","AERO ST 130C","AERO ST 20C","AERO ST","130C","60",NA,NA,NA,"AERO ST","20C",NA,NA,NA,NA
"107","AERO ST 140A","AERO ST 1A","AERO ST","140A","10",NA,NA,NA,"AERO ST","1A",NA,NA,NA,"AND"
"108","AERO ST 140A","AERO ST 1B","AERO ST","140A","20",NA,NA,NA,"AERO ST","1B",NA,NA,NA,"AND"
"109","AERO ST 140A","AERO ST 1C","AERO ST","140A","30",NA,NA,NA,"AERO ST","1C",NA,NA,NA,"AND"
"110","AERO ST 140A","AERO ST 20A","AERO ST","140A","40",NA,NA,NA,"AERO ST","20A",NA,NA,NA,"AND"
"111","AERO ST 140A","AERO ST 20B","AERO ST","140A","50",NA,NA,NA,"AERO ST","20B",NA,NA,NA,"AND"
"112","AERO ST 140A","AERO ST 20C","AERO ST","140A","60",NA,NA,NA,"AERO ST","20C",NA,NA,NA,NA
"113","AERO ST 140B","AERO ST 1A","AERO ST","140B","10",NA,NA,NA,"AERO ST","1A",NA,NA,NA,"AND"
"114","AERO ST 140B","AERO ST 1B","AERO ST","140B","20",NA,NA,NA,"AERO ST","1B",NA,NA,NA,"AND"
"115","AERO ST 140B","AERO ST 1C","AERO ST","140B","30",NA,NA,NA,"AERO ST","1C",NA,NA,NA,"AND"
"116","AERO ST 140B","AERO ST 20A","AERO ST","140B","40",NA,NA,NA,"AERO ST","20A",NA,NA,NA,"AND"
"117","AERO ST 140B","AERO ST 20B","AERO ST","140B","50",NA,NA,NA,"AERO ST","20B",NA,NA,NA,"AND"
"118","AERO ST 140B","AERO ST 20C","AERO ST","140B","60",NA,NA,NA,"AERO ST","20C",NA,NA,NA,NA
"119","AERO ST 140C","AERO ST 1A","AERO ST","140C","10",NA,NA,NA,"AERO ST","1A",NA,NA,NA,"AND"
"120","AERO ST 140C","AERO ST 1B","AERO ST","140C","20",NA,NA,NA,"AERO ST","1B",NA,NA,NA,"AND"
"121","AERO ST 140C","AERO ST 1C","AERO ST","140C","30",NA,NA,NA,"AERO ST","1C",NA,NA,NA,"AND"
"122","AERO ST 140C","AERO ST 20A","AERO ST","140C","40",NA,NA,NA,"AERO ST","20A",NA,NA,NA,"AND"
"123","AERO ST 140C","AERO ST 20B","AERO ST","140C","50",NA,NA,NA,"AERO ST","20B",NA,NA,NA,"AND"
"124","AERO ST 140C","AERO ST 20C","AERO ST","140C","60",NA,NA,NA,"AERO ST","20C",NA,NA,NA,NA
"125","AF AMER M7B","AF AMER M7A","AF AMER","7B M","25",NA,NA,NA,"AF AMER","7A M",NA,NA,NA,NA
"126","AF AMER M7C","AF AMER M7B","AF AMER","7C M","25",NA,NA,NA,"AF AMER","7B M",NA,NA,NA,NA
"127","AF AMER M9B","AF AMER M9A","AF AMER","9B M","10",NA,NA,NA,"AF AMER","9A M",NA,NA,NA,NA
"128","AF AMER M9C","AF AMER M9B","AF AMER","9C M","10",NA,NA,NA,"AF AMER","9B M",NA,NA,NA,NA
"129","AF AMER M104A","ENGCOMP 3","AF AMER","104A M","10",NA,NA,NA,"ENGCOMP","3",NA,NA,NA,"OR"
"130","AF AMER M104A","ESL 36","AF AMER","104A M","20",NA,NA,NA,"ESL","36",NA,NA,NA,"OR"
"131","AF AMER M104B","ENGCOMP 3","AF AMER","104B M","10",NA,NA,NA,"ENGCOMP","3",NA,NA,NA,"OR"
"132","AF AMER M104B","ESL 36","AF AMER","104B M","20",NA,NA,NA,"ESL","36",NA,NA,NA,"OR"
"133","AF AMER M104C","ENGCOMP 3","AF AMER","104C M","10",NA,NA,NA,"ENGCOMP","3",NA,NA,NA,"OR"
"134","AF AMER M104C","ESL 36","AF AMER","104C M","20",NA,NA,NA,"ESL","36",NA,NA,NA,"OR"
"135","AF AMER M104D","ENGCOMP 3","AF AMER","104D M","10",NA,NA,NA,"ENGCOMP","3",NA,NA,NA,"OR"
"136","AF AMER M104D","ESL 36","AF AMER","104D M","20",NA,NA,NA,"ESL","36",NA,NA,NA,"OR"
"137","AF AMER M104E","ENGCOMP 3","AF AMER","104E M","10",NA,NA,NA,"ENGCOMP","3",NA,NA,NA,"OR"
"138","AF AMER M104E","ESL 36","AF AMER","104E M","20",NA,NA,NA,"ESL","36",NA,NA,NA,"OR"
"139","AF AMER M144","POL SCI 40","AF AMER","144  M","10",NA,NA,NA,"POL SCI","40",NA,NA,NA,NA
"140","AF AMER M170B","AF AMER M170A","AF AMER","170B M","10",NA,NA,NA,"AF AMER","170A M",NA,NA,NA,NA
"141","AF AMER M179A","ENGCOMP 3","AF AMER","179A M","10",NA,NA,NA,"ENGCOMP","3",NA,NA,NA,"OR"
"142","AF AMER M179A","ESL 36","AF AMER","179A M","20",NA,NA,NA,"ESL","36",NA,NA,NA,"OR"
"143","AF AMER M194A","AFRO-AM M182A","AF AMER","194A M","10",NA,NA,NA,"AFRO-AM","182A M",NA,NA,NA,"OR"
"144","AF AMER M194A","AFRO-AM M182B","AF AMER","194A M","20",NA,NA,NA,"AFRO-AM","182B M",NA,NA,NA,NA
"145","AF AMER M194B","EDUC M182B","AF AMER","194B M","10",NA,NA,NA,"EDUC","182B M",NA,NA,NA,"OR"
"146","AF AMER M194B","EDUC M183B","AF AMER","194B M","20",NA,NA,NA,"EDUC","183B M",NA,NA,NA,NA
"147","AF AMER M194C","AFRO-AM M182C","AF AMER","194C M","10",NA,NA,NA,"AFRO-AM","182C M",NA,NA,NA,"OR"
"148","AF AMER M194C","AFRO-AM M183C","AF AMER","194C M","20",NA,NA,NA,"AFRO-AM","183C M",NA,NA,NA,NA
"149","AF LANG 1B","AF LANG 1A","AF LANG","1B","10",NA,NA,NA,"AF LANG","1A",NA,NA,NA,NA
"150","AF LANG 1C","AF LANG 1B","AF LANG","1C","10",NA,NA,NA,"AF LANG","1B",NA,NA,NA,NA
"151","AF LANG 2A","AF LANG 1C","AF LANG","2A","10",NA,NA,NA,"AF LANG","1C",NA,NA,NA,NA
"152","AF LANG 2B","AF LANG 2A","AF LANG","2B","10",NA,NA,NA,"AF LANG","2A",NA,NA,NA,NA
"153","AF LANG 2C","AF LANG 2B","AF LANG","2C","10",NA,NA,NA,"AF LANG","2B",NA,NA,NA,NA
"154","AF LANG 4","AF LANG 1A","AF LANG","4","10",NA,NA,NA,"AF LANG","1A",NA,NA,NA,"AND"
"155","AF LANG 4","AF LANG 1B","AF LANG","4","20",NA,NA,NA,"AF LANG","1B",NA,NA,NA,NA
"156","AF LANG 7B","AF LANG 7A","AF LANG","7B","10",NA,NA,NA,"AF LANG","7A",NA,NA,NA,NA
"157","AF LANG 7C","AF LANG 7B","AF LANG","7C","10",NA,NA,NA,"AF LANG","7B",NA,NA,NA,NA
"158","AF LANG 8A","AF LANG 7C","AF LANG","8A","10",NA,NA,NA,"AF LANG","7C",NA,NA,NA,NA
"159","AF LANG 8B","AF LANG 8A","AF LANG","8B","10",NA,NA,NA,"AF LANG","8A",NA,NA,NA,NA
"160","AF LANG 8C","AF LANG 8B","AF LANG","8C","10",NA,NA,NA,"AF LANG","8B",NA,NA,NA,NA
"161","AF LANG 11B","AF LANG 11A","AF LANG","11B","10",NA,NA,NA,"AF LANG","11A",NA,NA,NA,NA
"162","AF LANG 11C","AF LANG 11B","AF LANG","11C","10",NA,NA,NA,"AF LANG","11B",NA,NA,NA,NA
"163","AF LANG 12A","AF LANG 11C","AF LANG","12A","10",NA,NA,NA,"AF LANG","11C",NA,NA,NA,NA
"164","AF LANG 12B","AF LANG 12A","AF LANG","12B","10",NA,NA,NA,"AF LANG","12A",NA,NA,NA,NA
"165","AF LANG 12C","AF LANG 12B","AF LANG","12C","10",NA,NA,NA,"AF LANG","12B",NA,NA,NA,NA
"166","AF LANG 14B","AF LANG 14A","AF LANG","14B","10",NA,NA,NA,"AF LANG","14A",NA,NA,NA,NA
"167","AF LANG 14C","AF LANG 14B","AF LANG","14C","25",NA,NA,NA,"AF LANG","14B",NA,NA,NA,NA
"168","AF LANG 16","AFRICAN 1C","AF LANG","16","10",NA,NA,NA,"AFRICAN","1C",NA,NA,NA,"OR"
"169","AF LANG 16","AFRICAN 15","AF LANG","16","20",NA,NA,NA,"AFRICAN","15",NA,NA,NA,NA
"170","AF LANG 18","AF LANG 7C","AF LANG","18","10",NA,NA,NA,"AF LANG","7C",NA,NA,NA,"OR"
"171","AF LANG 18","AF LANG 17","AF LANG","18","20",NA,NA,NA,"AF LANG","17",NA,NA,NA,NA
"172","AF LANG 26","AF LANG 11C","AF LANG","26","10",NA,NA,NA,"AF LANG","11C",NA,NA,NA,"OR"
"173","AF LANG 26","AF LANG 25","AF LANG","26","20",NA,NA,NA,"AF LANG","25",NA,NA,NA,NA
"174","AF LANG 31B","AF LANG 31A","AF LANG","31B","10",NA,NA,NA,"AF LANG","31A",NA,NA,NA,NA
"175","AF LANG 31C","AFRICAN 31B","AF LANG","31C","10",NA,NA,NA,"AFRICAN","31B",NA,NA,NA,NA
"176","AF LANG 32A","AF LANG 31C","AF LANG","32A","10",NA,NA,NA,"AF LANG","31C",NA,NA,NA,NA
"177","AF LANG 32B","AF LANG 32A","AF LANG","32B","10",NA,NA,NA,"AF LANG","32A",NA,NA,NA,NA
"178","AF LANG 32C","AF LANG 32B","AF LANG","32C","10",NA,NA,NA,"AF LANG","32B",NA,NA,NA,NA
"179","AF LANG 36","AF LANG 31C","AF LANG","36","10",NA,NA,NA,"AF LANG","31C",NA,NA,NA,"OR"
"180","AF LANG 36","AF LANG 35","AF LANG","36","20",NA,NA,NA,"AF LANG","35",NA,NA,NA,NA
"181","AF LANG 41B","AF LANG 41A","AF LANG","41B","10",NA,NA,NA,"AF LANG","41A",NA,NA,NA,NA
"182","AF LANG 41C","AF LANG 41B","AF LANG","41C","10",NA,NA,NA,"AF LANG","41B",NA,NA,NA,NA
"183","AF LANG 42A","AF LANG 41C","AF LANG","42A","10",NA,NA,NA,"AF LANG","41C",NA,NA,NA,NA
"184","AF LANG 42B","AF LANG 42A","AF LANG","42B","10",NA,NA,NA,"AF LANG","42A",NA,NA,NA,NA
"185","AF LANG 42C","AF LANG 42B","AF LANG","42C","10",NA,NA,NA,"AF LANG","42B",NA,NA,NA,NA
"186","AF LANG 46","AF LANG 41C","AF LANG","46","10",NA,NA,NA,"AF LANG","41C",NA,NA,NA,"OR"
"187","AF LANG 46","AF LANG 45","AF LANG","46","20",NA,NA,NA,"AF LANG","45",NA,NA,NA,NA
"188","AF LANG 51B","AF LANG 51A","AF LANG","51B","10",NA,NA,NA,"AF LANG","51A",NA,NA,NA,NA
"189","AF LANG 51C","AFRICAN 51B","AF LANG","51C","10",NA,NA,NA,"AFRICAN","51B",NA,NA,NA,NA
"190","AF LANG 52A","AF LANG 51C","AF LANG","52A","10",NA,NA,NA,"AF LANG","51C",NA,NA,NA,NA
"191","AF LANG 52B","AF LANG 52A","AF LANG","52B","10",NA,NA,NA,"AF LANG","52A",NA,NA,NA,NA
"192","AF LANG 52C","AF LANG 52B","AF LANG","52C","10",NA,NA,NA,"AF LANG","52B",NA,NA,NA,NA
"193","AF LANG 61B","AF LANG 61A","AF LANG","61B","10",NA,NA,NA,"AF LANG","61A",NA,NA,NA,NA
"194","AF LANG 61C","AF LANG 61B","AF LANG","61C","10",NA,NA,NA,"AF LANG","61B",NA,NA,NA,NA
"195","AF LANG 62A","AF LANG 61C","AF LANG","62A","10",NA,NA,NA,"AF LANG","61C",NA,NA,NA,NA
"196","AF LANG 62B","AF LANG 62A","AF LANG","62B","10",NA,NA,NA,"AF LANG","62A",NA,NA,NA,NA
"197","AF LANG 62C","AF LANG 62B","AF LANG","62C","10",NA,NA,NA,"AF LANG","62B",NA,NA,NA,NA
"198","AF LANG 103A","AF LANG 2C","AF LANG","103A","10",NA,NA,NA,"AF LANG","2C",NA,NA,NA,NA
"199","AF LANG 103B","AF LANG 103A","AF LANG","103B","10",NA,NA,NA,"AF LANG","103A",NA,NA,NA,NA
"200","AF LANG 103C","AF LANG 103B","AF LANG","103C","10",NA,NA,NA,"AF LANG","103B",NA,NA,NA,NA
"201","AF LANG 109A","AF LANG 8C","AF LANG","109A","10",NA,NA,NA,"AF LANG","8C",NA,NA,NA,NA
"202","AF LANG 109B","AF LANG 109A","AF LANG","109B","10",NA,NA,NA,"AF LANG","109A",NA,NA,NA,NA
"203","AF LANG 109C","AF LANG 109B","AF LANG","109C","10",NA,NA,NA,"AF LANG","109B",NA,NA,NA,NA
"204","AF LANG 123A","AF LANG 12C","AF LANG","123A","10",NA,NA,NA,"AF LANG","12C",NA,NA,NA,NA
"205","AF LANG 123B","AF LANG 123A","AF LANG","123B","10",NA,NA,NA,"AF LANG","123A",NA,NA,NA,NA
"206","AF LANG 123C","AF LANG 123B","AF LANG","123C","10",NA,NA,NA,"AF LANG","123B",NA,NA,NA,NA
"207","AF LANG 133A","AF LANG 32C","AF LANG","133A","10",NA,NA,NA,"AF LANG","32C",NA,NA,NA,NA
"208","AF LANG 133B","AF LANG 133A","AF LANG","133B","10",NA,NA,NA,"AF LANG","133A",NA,NA,NA,NA
"209","AF LANG 133C","AF LANG 133B","AF LANG","133C","10",NA,NA,NA,"AF LANG","133B",NA,NA,NA,NA
"210","AF LANG 143A","AF LANG 42C","AF LANG","143A","10",NA,NA,NA,"AF LANG","42C",NA,NA,NA,NA
"211","AF LANG 143B","AF LANG 143A","AF LANG","143B","10",NA,NA,NA,"AF LANG","143A",NA,NA,NA,NA
"212","AF LANG 143C","AF LANG 143B","AF LANG","143C","10",NA,NA,NA,"AF LANG","143B",NA,NA,NA,NA
"213","AF LANG 153A","AF LANG 52C","AF LANG","153A","10",NA,NA,NA,"AF LANG","52C",NA,NA,NA,NA
"214","AF LANG 153B","AF LANG 153A","AF LANG","153B","10",NA,NA,NA,"AF LANG","153A",NA,NA,NA,NA
"215","AF LANG 153C","AF LANG 153B","AF LANG","153C","10",NA,NA,NA,"AF LANG","153B",NA,NA,NA,NA
"216","AF LANG M187","LING 20","AF LANG","187  M","10",NA,NA,NA,"LING","20",NA,NA,NA,NA
"217","AFRICAN 1B","AFRICAN 1A","AFRICAN","1B","10",NA,NA,NA,"AFRICAN","1A",NA,NA,NA,NA
